"Variables","Indian","Pakistani","Bangladeshi","Chinese","Any other Asian background","African","Caribbean","Any other Black background","White and Black Caribbean","White and Black African","White and Asian","Any other Mixed background","Arab","Any other ethnic group","British","Irish","Gypsy or Irish Traveller","Any other White background","Unknown/Not stated","p","test"
"preg_flag = 1 (%)","1,105 (1.1)","1,680 (2.0)","575 (2.0)","65 (0.7)","665 (1.2)","800 (1.3)","285 (0.8)","215 (1.1)","245 (1.5)","100 (1.0)","120 (1.2)","285 (1.4)","75 (2.5)","575 (1.3)","23,960 (0.9)","190 (0.9)","40 (1.9)","3,095 (1.0)","1,315 (1.0)","<0.001",NA
"smoking = 1 (%)","16,755 (17.3)","15,995 (19.2)","5,415 (18.8)","2,495 (26.1)","12,300 (21.4)","11,150 (17.7)","16,285 (43.5)","7,645 (37.8)","9,370 (55.6)","3,265 (33.4)","4,065 (40.8)","9,505 (47.4)","705 (23.7)","16,965 (39.4)","1,497,560 (56.3)","12,080 (57.7)","1,070 (51.7)","170,175 (55.0)","67,535 (50.2)","<0.001",NA
"AF = 1 (%)","950 (1.0)","715 (0.9)","155 (0.5)","70 (0.7)","445 (0.8)","410 (0.7)","585 (1.6)","145 (0.7)","110 (0.7)","65 (0.7)","50 (0.5)","150 (0.7)","35 (1.2)","485 (1.1)","65,835 (2.5)","840 (4.0)","20 (1.0)","4,740 (1.5)","2,040 (1.5)","<0.001",NA
"CKD = 1 (%)","4,345 (4.5)","3,865 (4.6)","1,325 (4.6)","220 (2.3)","1,775 (3.1)","2,495 (4.0)","3,270 (8.7)","830 (4.1)","605 (3.6)","295 (3.0)","190 (1.9)","435 (2.2)","60 (2.0)","1,175 (2.7)","146,105 (5.5)","1,585 (7.6)","50 (2.4)","9,740 (3.2)","4,975 (3.7)","<0.001",NA
"diabetes = 1 (%)","15,095 (15.6)","14,645 (17.6)","6,425 (22.3)","625 (6.5)","8,410 (14.6)","7,105 (11.3)","5,965 (15.9)","1,850 (9.2)","1,135 (6.7)","780 (8.0)","695 (7.0)","1,170 (5.8)","295 (9.9)","3,255 (7.6)","162,070 (6.1)","1,395 (6.7)","125 (6.0)","15,110 (4.9)","6,655 (4.9)","<0.001",NA
"schizophrenia = 1 (%)","385 (0.4)","415 (0.5)","215 (0.7)","40 (0.4)","215 (0.4)","430 (0.7)","345 (0.9)","160 (0.8)","110 (0.7)","60 (0.6)","30 (0.3)","85 (0.4)","10 (0.3)","135 (0.3)","6,275 (0.2)","95 (0.5)","<10 (<0.5)","705 (0.2)","295 (0.2)","<0.001",NA
"bipolardisorder = 1 (%)","320 (0.3)","345 (0.4)","120 (0.4)","45 (0.5)","190 (0.3)","265 (0.4)","215 (0.6)","135 (0.7)","130 (0.8)","70 (0.7)","60 (0.6)","165 (0.8)","10 (0.3)","225 (0.5)","16,595 (0.6)","185 (0.9)","<10 (<0.5)","1,625 (0.5)","645 (0.5)","<0.001",NA
"depression = 1 (%)","2,075 (2.1)","2,030 (2.4)","670 (2.3)","115 (1.2)","1,000 (1.7)","985 (1.6)","970 (2.6)","495 (2.4)","650 (3.9)","220 (2.2)","275 (2.8)","620 (3.1)","70 (2.3)","1,110 (2.6)","107,165 (4.0)","705 (3.4)","70 (3.4)","8,170 (2.6)","5,930 (4.4)","<0.001",NA
"RA = 1 (%)","1,945 (2.0)","1,370 (1.6)","425 (1.5)","100 (1.0)","760 (1.3)","485 (0.8)","535 (1.4)","200 (1.0)","175 (1.0)","95 (1.0)","95 (1.0)","165 (0.8)","35 (1.2)","425 (1.0)","32,240 (1.2)","335 (1.6)","15 (0.7)","2,915 (0.9)","1,175 (0.9)","<0.001",NA
"anti_hypertensive_drugs = 1 (%)","175 (0.2)","145 (0.2)","65 (0.2)","10 (0.1)","75 (0.1)","215 (0.3)","180 (0.5)","60 (0.3)","30 (0.2)","25 (0.3)","<10 (<0.1)","20 (0.1)","<10 (<0.3)","65 (0.2)","3,810 (0.1)","25 (0.1)","<10 (<0.5)","395 (0.1)","135 (0.1)","<0.001",NA
"antipsychotic = 1 (%)","160 (0.2)","160 (0.2)","55 (0.2)","25 (0.3)","110 (0.2)","135 (0.2)","105 (0.3)","60 (0.3)","75 (0.4)","25 (0.3)","20 (0.2)","70 (0.3)","10 (0.3)","120 (0.3)","9,165 (0.3)","120 (0.6)","<10 (<0.5)","710 (0.2)","435 (0.3)","<0.001",NA
"erectiledysfunction = 1 (%)","<10 (0.0*)","<10 (0.0*)","0 (0.0)","0 (0.0)","<10 (0.0*)","<10 (0.0*)","<10 (0.0*)","0 (0.0)","<10 (<0.1)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","90 (0.0)","<10 (0.0*)","0 (0.0)","<10 (0.0*)","<10 (0.0*)","0.605",NA
"autoimmune_liver_disease = 1 (%)","115 (0.1)","135 (0.2)","30 (0.1)","20 (0.2)","65 (0.1)","95 (0.2)","50 (0.1)","30 (0.1)","20 (0.1)","<10 (<0.1)","10 (0.1)","25 (0.1)","<10 (<0.3)","70 (0.2)","4,235 (0.2)","45 (0.2)","<10 (<0.5)","365 (0.1)","155 (0.1)","<0.001",NA
"cancer = 1 (%)","45,765 (47.3)","31,955 (38.4)","9,660 (33.6)","5,195 (54.3)","27,450 (47.7)","28,425 (45.2)","15,895 (42.5)","8,680 (42.9)","7,215 (42.8)","4,605 (47.0)","4,485 (45.0)","9,145 (45.6)","1,375 (46.1)","19,835 (46.0)","1,261,485 (47.4)","9,400 (44.9)","1,175 (56.8)","164,545 (53.2)","65,150 (48.5)","<0.001",NA
"copd = 1 (%)","385 (0.4)","430 (0.5)","120 (0.4)","20 (0.2)","225 (0.4)","170 (0.3)","380 (1.0)","100 (0.5)","100 (0.6)","45 (0.5)","45 (0.5)","110 (0.5)","10 (0.3)","315 (0.7)","66,710 (2.5)","945 (4.5)","30 (1.4)","4,230 (1.4)","1,725 (1.3)","<0.001",NA
"dementia = 1 (%)","755 (0.8)","490 (0.6)","215 (0.7)","65 (0.7)","325 (0.6)","295 (0.5)","940 (2.5)","130 (0.6)","150 (0.9)","40 (0.4)","50 (0.5)","105 (0.5)","15 (0.5)","430 (1.0)","66,110 (2.5)","1,000 (4.8)","<10 (<0.5)","3,980 (1.3)","2,325 (1.7)","<0.001",NA
"hypertension = 1 (%)","18,980 (19.6)","14,470 (17.4)","5,915 (20.6)","1,180 (12.3)","11,250 (19.6)","15,560 (24.8)","11,780 (31.5)","4,080 (20.2)","2,305 (13.7)","1,725 (17.6)","970 (9.7)","2,085 (10.4)","335 (11.2)","5,715 (13.3)","442,695 (16.6)","4,305 (20.6)","280 (13.5)","41,545 (13.4)","16,755 (12.5)","<0.001",NA
"alcohol_problems = 1 (%)","2,830 (2.9)","2,580 (3.1)","515 (1.8)","310 (3.2)","1,600 (2.8)","2,110 (3.4)","1,310 (3.5)","735 (3.6)","675 (4.0)","390 (4.0)","365 (3.7)","755 (3.8)","115 (3.9)","1,460 (3.4)","104,955 (3.9)","1,100 (5.3)","110 (5.3)","12,165 (3.9)","3,605 (2.7)","<0.001",NA
"alcoholic_liver_disease = 1 (%)","10 (0.0)","<10 (0.0*)","0 (0.0)","0 (0.0)","<10 (0.0*)","<10 (0.0*)","<10 (0.0*)","<10 (0.0*)","<10 (<0.1)","<10 (<0.1)","<10 (<0.1)","<10 (0.0*)","0 (0.0)","<10 (0.0*)","1,195 (0.0)","20 (0.1)","<10 (<0.5)","95 (0.0)","30 (0.0)","<0.001",NA
"anti_coagulant_drugs = 1 (%)","1,115 (1.2)","975 (1.2)","190 (0.7)","60 (0.6)","550 (1.0)","715 (1.1)","900 (2.4)","260 (1.3)","200 (1.2)","110 (1.1)","70 (0.7)","210 (1.0)","35 (1.2)","575 (1.3)","75,940 (2.9)","910 (4.3)","25 (1.2)","5,545 (1.8)","2,465 (1.8)","<0.001",NA
"anti_diabetic_drugs = 1 (%)","12,270 (12.7)","12,815 (15.4)","5,635 (19.6)","445 (4.7)","7,070 (12.3)","5,480 (8.7)","4,470 (11.9)","1,390 (6.9)","850 (5.0)","595 (6.1)","570 (5.7)","930 (4.6)","255 (8.6)","2,620 (6.1)","114,910 (4.3)","935 (4.5)","110 (5.3)","11,305 (3.7)","4,950 (3.7)","<0.001",NA
"anti_platelet_drugs = 1 (%)","5,015 (5.2)","5,380 (6.5)","1,695 (5.9)","220 (2.3)","2,270 (3.9)","1,955 (3.1)","2,135 (5.7)","605 (3.0)","460 (2.7)","225 (2.3)","225 (2.3)","425 (2.1)","130 (4.4)","1,440 (3.3)","121,265 (4.6)","1,425 (6.8)","55 (2.7)","9,705 (3.1)","4,220 (3.1)","<0.001",NA
"statins = 1 (%)","15,875 (16.4)","14,210 (17.1)","6,035 (21.0)","665 (7.0)","8,465 (14.7)","5,665 (9.0)","5,585 (14.9)","1,585 (7.8)","1,015 (6.0)","660 (6.7)","685 (6.9)","1,230 (6.1)","330 (11.1)","4,130 (9.6)","298,445 (11.2)","3,355 (16.0)","185 (8.9)","24,750 (8.0)","10,015 (7.4)","<0.001",NA
"obesity = 1 (%)","9,030 (9.3)","11,455 (13.8)","2,870 (10.0)","245 (2.6)","4,825 (8.4)","8,910 (14.2)","5,575 (14.9)","2,590 (12.8)","1,755 (10.4)","1,090 (11.1)","645 (6.5)","1,710 (8.5)","320 (10.7)","3,720 (8.6)","255,835 (9.6)","1,630 (7.8)","185 (8.9)","23,415 (7.6)","11,755 (8.7)","<0.001",NA
"osteoporosis = 1 (%)","2,755 (2.8)","1,235 (1.5)","435 (1.5)","180 (1.9)","975 (1.7)","595 (0.9)","410 (1.1)","165 (0.8)","110 (0.7)","85 (0.9)","100 (1.0)","235 (1.2)","50 (1.7)","810 (1.9)","84,990 (3.2)","1,245 (5.9)","35 (1.7)","6,495 (2.1)","2,795 (2.1)","<0.001",NA
"fracture_of_hip = 1 (%)","345 (0.4)","150 (0.2)","45 (0.2)","30 (0.3)","135 (0.2)","60 (0.1)","80 (0.2)","30 (0.1)","20 (0.1)","<10 (<0.1)","25 (0.3)","60 (0.3)","<10 (<0.3)","185 (0.4)","35,980 (1.4)","425 (2.0)","<10 (<0.5)","2,095 (0.7)","1,185 (0.9)","<0.001",NA
"fracture_of_wrist = 1 (%)","600 (0.6)","370 (0.4)","65 (0.2)","45 (0.5)","200 (0.3)","170 (0.3)","130 (0.3)","70 (0.3)","120 (0.7)","55 (0.6)","80 (0.8)","160 (0.8)","15 (0.5)","260 (0.6)","48,090 (1.8)","465 (2.2)","10 (0.5)","2,995 (1.0)","2,145 (1.6)","<0.001",NA
"pre_covid_cvd_event = 1 (%)","7,480 (7.7)","7,660 (9.2)","2,070 (7.2)","385 (4.0)","3,660 (6.4)","3,560 (5.7)","4,085 (10.9)","1,230 (6.1)","925 (5.5)","490 (5.0)","420 (4.2)","915 (4.6)","195 (6.5)","2,730 (6.3)","265,630 (10.0)","3,020 (14.4)","120 (5.8)","20,890 (6.8)","9,035 (6.7)","<0.001",NA
"pre_covid_cvd_event_1y = 1 (%)","2,275 (2.4)","2,255 (2.7)","605 (2.1)","110 (1.2)","1,065 (1.9)","980 (1.6)","1,400 (3.7)","365 (1.8)","280 (1.7)","130 (1.3)","140 (1.4)","270 (1.3)","65 (2.2)","855 (2.0)","90,655 (3.4)","1,215 (5.8)","40 (1.9)","6,690 (2.2)","2,755 (2.0)","<0.001",NA
"death28d = 1 (%)","1,030 (1.1)","880 (1.1)","345 (1.2)","95 (1.0)","395 (0.7)","410 (0.7)","680 (1.8)","145 (0.7)","155 (0.9)","40 (0.4)","45 (0.5)","90 (0.4)","20 (0.7)","375 (0.9)","35,880 (1.3)","435 (2.1)","<10 (<0.5)","2,065 (0.7)","1,080 (0.8)","<0.001",NA
"death90d = 1 (%)","1,165 (1.2)","1,000 (1.2)","390 (1.4)","110 (1.2)","445 (0.8)","475 (0.8)","760 (2.0)","170 (0.8)","170 (1.0)","50 (0.5)","55 (0.6)","100 (0.5)","20 (0.7)","435 (1.0)","41,800 (1.6)","505 (2.4)","10 (0.5)","2,435 (0.8)","1,265 (0.9)","<0.001",NA
"post_covid_cvd_event_30d = 1 (%)","805 (0.8)","820 (1.0)","250 (0.9)","50 (0.5)","390 (0.7)","355 (0.6)","525 (1.4)","115 (0.6)","105 (0.6)","40 (0.4)","45 (0.5)","85 (0.4)","25 (0.8)","295 (0.7)","23,990 (0.9)","310 (1.5)","15 (0.7)","1,885 (0.6)","735 (0.5)","<0.001",NA
"post_covid_cvd_event_1y = 1 (%)","2,285 (2.4)","2,430 (2.9)","655 (2.3)","110 (1.2)","1,140 (2.0)","1,030 (1.6)","1,365 (3.6)","310 (1.5)","250 (1.5)","130 (1.3)","125 (1.3)","230 (1.1)","65 (2.2)","830 (1.9)","75,575 (2.8)","960 (4.6)","45 (2.2)","5,870 (1.9)","2,350 (1.7)","<0.001",NA
